Name,Type,Parent Object,Description,IsParent,Associated Parent
BallJointMotion.pitchLimits,Property,BallJointMotion,returns a jointlimits object that defines the limits of rotation for the pitch use the functionality of the returned jointlimits object to get set and modify the joint limitsdefined in and the header file is adskfusioncomponentsballjointmotionh,False,BallJointMotion
BallJointMotion.pitchValue,Property,BallJointMotion,gets and sets the pitch value this is in radians setting this value is the equivalent of using the drive joints commanddefined in and the header file is adskfusioncomponentsballjointmotionh,False,BallJointMotion
BallJointMotion.rollDirectionVector,Property,BallJointMotion,returns the direction that the roll angle is measured from this property will return null in the case where the balljointmotion object was obtained from a jointinput objectdefined in and the header file is adskfusioncomponentsballjointmotionh,False,BallJointMotion
BallJointMotion.rollLimits,Property,BallJointMotion,returns a jointlimits object that defines the limits of rotation for the roll use the functionality of the returned jointlimits object to get set and modify the joint limitsdefined in and the header file is adskfusioncomponentsballjointmotionh,False,BallJointMotion
BallJointMotion.rollValue,Property,BallJointMotion,gets and sets the roll value this is in radians setting this value is the equivalent of using the drive joints commanddefined in and the header file is adskfusioncomponentsballjointmotionh,False,BallJointMotion
BallJointMotion.yawDirection,Property,BallJointMotion,gets and sets the direction that the pitch is measured from this can only be set to xaxisjointdirection and can return xaxisjointdirection or customjointdirection if this returns customjointdirection then the customyawdirectionentity will return an entity that defines the direction if there is a custom direction defined and this property is set to xaxisjointdirection the custom direction will be removed and customyawdirectionentity will return nulldefined in and the header file is adskfusioncomponentsballjointmotionh,False,BallJointMotion
BallJointMotion.yawDirectionVector,Property,BallJointMotion,returns the direction that the yaw angle is measured from this property will return null in the case where the balljointmotion object was obtained from a jointinput objectdefined in and the header file is adskfusioncomponentsballjointmotionh,False,BallJointMotion
BallJointMotion.yawLimits,Property,BallJointMotion,returns a jointlimits object that defines the limits of rotation for the yaw use the functionality of the returned jointlimits object to get set and modify the joint limitsdefined in and the header file is adskfusioncomponentsballjointmotionh,False,BallJointMotion
BallJointMotion.yawValue,Property,BallJointMotion,gets and sets the yaw value this is in radians setting this value is the equivalent of using the drive joints commanddefined in and the header file is adskfusioncomponentsballjointmotionh,False,BallJointMotion
Base,Object,,,True,Base
BaseComponent,Object,,,True,BaseComponent
BaseComponent.allOccurrences,Property,BaseComponent,returns all of the occurrences in the assembly regardless of their level within the assembly structure the returned list is readonlydefined in and the header file is adskfusioncomponentsbasecomponenth,False,BaseComponent
BaseComponent.allOccurrencesByComponent,Method,BaseComponent,returns all occurrences at any level of the assembly that reference the specified component the returned list is readonlydefined in and the header file is adskfusioncomponentsbasecomponenth,False,BaseComponent
BaseComponent.bRepBodies,Property,BaseComponent,returns the brep bodies collection associated with this componentdefined in and the header file is adskfusioncomponentsbasecomponenth,False,BaseComponent
BaseComponent.classType,Method,BaseComponent,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskfusioncomponentsbasecomponenth,False,BaseComponent
BaseComponent.constructionAxes,Property,BaseComponent,returns the construction axes collection associated with this component this provides access to the existing construction axes and supports the creation of new construction axesdefined in and the header file is adskfusioncomponentsbasecomponenth,False,BaseComponent
BaseComponent.constructionPlanes,Property,BaseComponent,returns the construction planes collection associated with this component this provides access to the existing construction planes and supports the creation of new construction planesdefined in and the header file is adskfusioncomponentsbasecomponenth,False,BaseComponent
BaseComponent.constructionPoints,Property,BaseComponent,returns the construction points collection associated with this component this provides access to the existing construction points and supports the creation of new construction pointsdefined in and the header file is adskfusioncomponentsbasecomponenth,False,BaseComponent
BaseComponent.findBRepUsingPoint,Method,BaseComponent,finds all the entities of the specified type at the specified locationdefined in and the header file is adskfusioncomponentsbasecomponenth,False,BaseComponent
BaseComponent.findBRepUsingRay,Method,BaseComponent,finds all the brep entities that are intersected by the specified ray this can return brepface brepedge and brepvertex objectsdefined in and the header file is adskfusioncomponentsbasecomponenth,False,BaseComponent
BaseComponent.isValid,Property,BaseComponent,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskfusioncomponentsbasecomponenth,False,BaseComponent
BaseComponent.name,Property,BaseComponent,property that gets and sets the name of this component this is the name shown in the browser for each occurrence referencing this componentdefined in and the header file is adskfusioncomponentsbasecomponenth,False,BaseComponent
BaseComponent.objectType,Property,BaseComponent,returns a string indicating the type of the objectdefined in and the header file is adskfusioncomponentsbasecomponenth,False,BaseComponent
BaseComponent.occurrences,Property,BaseComponent,property that returns the occurrences collection associated with this component this provides access to the occurrences at the toplevel of this component and provides the functionality to add new occurrencesdefined in and the header file is adskfusioncomponentsbasecomponenth,False,BaseComponent
BaseComponent.occurrencesByComponent,Method,BaseComponent,returns all occurrences at the toplevel of this component that reference the specified component the returned list is readonlydefined in and the header file is adskfusioncomponentsbasecomponenth,False,BaseComponent
BaseComponent.parentDesign,Property,BaseComponent,returns the parent product this component is owned bydefined in and the header file is adskfusioncomponentsbasecomponenth,False,BaseComponent
BaseFeature,Object,,,True,BaseFeature
BaseFeatures,Object,,,True,BaseFeatures
BaseFeatures.add,Method,BaseFeatures,creates a new empty base feature in the parent componentdefined in and the header file is adskfusionfeaturesbasefeaturesh,False,BaseFeatures
BaseFeatures.classType,Method,BaseFeatures,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskfusionfeaturesbasefeaturesh,False,BaseFeatures
BaseFeatures.count,Property,BaseFeatures,the number of base features in the collectiondefined in and the header file is adskfusionfeaturesbasefeaturesh,False,BaseFeatures
BaseFeatures.isValid,Property,BaseFeatures,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskfusionfeaturesbasefeaturesh,False,BaseFeatures
BaseFeatures.item,Method,BaseFeatures,function that returns the specified base feature using an index into the collectiondefined in and the header file is adskfusionfeaturesbasefeaturesh,False,BaseFeatures
BaseFeatures.itemByName,Method,BaseFeatures,function that returns the specified base feature using the name of the featuredefined in and the header file is adskfusionfeaturesbasefeaturesh,False,BaseFeatures
BaseFeatures.objectType,Property,BaseFeatures,returns a string indicating the type of the objectdefined in and the header file is adskfusionfeaturesbasefeaturesh,False,BaseFeatures
BaseFeature.assemblyContext,Property,BaseFeature,returns the assembly occurrence ie the occurrence of this object in an assembly this is only valid in the case where this is acting as a proxy in an assembly returns null in the case where the object is not in the context of an assembly but is already the native objectdefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.attributes,Property,BaseFeature,returns the collection of attributes associated with this facedefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.baseFeature,Property,BaseFeature,if this feature is associated with a base feature this property will return that base feature if its not associated with a base feature this property will return nulldefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.bodies,Property,BaseFeature,returns the bodies that were modified or created by this feature this works for both parametric and nonparametric features for a basefeature this returns the bodies that are owned by the base featuredefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.classType,Method,BaseFeature,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.constructionAxes,Property,BaseFeature,returns an array of the construction axes associated with this base featuredefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.constructionPlanes,Property,BaseFeature,returns an array of the construction planes associated with this base featuredefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.constructionPoints,Property,BaseFeature,returns an array of the construction points associated with this base featuredefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.deleteMe,Method,BaseFeature,deletes the feature this works for both parametric and nonparametric featuresdefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.dissolve,Method,BaseFeature,dissolves the feature so that the feature information is lost and only the brep geometry defined by the feature remains this is only valid for nonparametric featuresdefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.errorOrWarningMessage,Property,BaseFeature,returns the error or warning message in the case where the healthstate property returns either warningfeaturehealthstate or errorfeaturehealthstate otherwise this property returns an empty stringdefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.faces,Property,BaseFeature,returns the faces that were created by this feature this works for both parametric and nonparametric featuresdefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.finishEdit,Method,BaseFeature,exits from edit mode in the userinterface if this base feature in not in edit mode then nothing happensdefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.healthState,Property,BaseFeature,returns the current health state of the featuredefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.isParametric,Property,BaseFeature,indicates if this feature is parametric or notdefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.isSuppressed,Property,BaseFeature,gets and sets if this feature is suppressed this is only valid for parametric featuresdefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.isValid,Property,BaseFeature,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.linkedFeatures,Property,BaseFeature,returns the set of features that are linked to this feature the set of linked features are all of the features that were created in various components as the result of a single feature being created in the user interfacedefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.meshBodies,Property,BaseFeature,returns an array of the mesh bodies associated with this base featuredefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.name,Property,BaseFeature,returns the name of the feature as seen in the browser nonparametric or in the timeline parametricdefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.objectType,Property,BaseFeature,returns a string indicating the type of the objectdefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.parentComponent,Property,BaseFeature,returns the parent component that owns this featuredefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.sketches,Property,BaseFeature,returns an array of the sketches associated with this base featuredefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.startEdit,Method,BaseFeature,set the userinterface so that the base body is in edit modedefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
BaseFeature.timelineObject,Property,BaseFeature,returns the timeline object associated with this featuredefined in and the header file is adskfusionfeaturesbasefeatureh,False,BaseFeatures
Base.classType,Method,Base,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskcoreapplicationbaseh,False,BaseFeatures
Base.isValid,Property,Base,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskcoreapplicationbaseh,False,BaseFeatures
Base.objectType,Property,Base,returns a string indicating the type of the objectdefined in and the header file is adskcoreapplicationbaseh,False,BaseFeatures
BooleanProperty,Object,,,True,BooleanProperty
BooleanProperty.classType,Method,BooleanProperty,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskcorematerialsbooleanpropertyh,False,BooleanProperty
BooleanProperty.id,Property,BooleanProperty,returns the unique id of this propertydefined in and the header file is adskcorematerialsbooleanpropertyh,False,BooleanProperty
BooleanProperty.isReadOnly,Property,BooleanProperty,indicates if this property is readonly if true any attempted edits will faildefined in and the header file is adskcorematerialsbooleanpropertyh,False,BooleanProperty
BooleanProperty.isValid,Property,BooleanProperty,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskcorematerialsbooleanpropertyh,False,BooleanProperty
BooleanProperty.name,Property,BooleanProperty,returns the name of this property as seen in the user interface this name is localized and can change based on the current languagedefined in and the header file is adskcorematerialsbooleanpropertyh,False,BooleanProperty
BooleanProperty.objectType,Property,BooleanProperty,returns a string indicating the type of the objectdefined in and the header file is adskcorematerialsbooleanpropertyh,False,BooleanProperty
BooleanProperty.parent,Property,BooleanProperty,returns the parent of this propertydefined in and the header file is adskcorematerialsbooleanpropertyh,False,BooleanProperty
BooleanProperty.value,Property,BooleanProperty,gets and sets the value of this propertydefined in and the header file is adskcorematerialsbooleanpropertyh,False,BooleanProperty
BooleanTypes,Enumerator,,,True,BooleanTypes
BoolValueCommandInput,Object,,,True,BoolValueCommandInput
BoolValueCommandInput.classType,Method,BoolValueCommandInput,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoolValueCommandInput.commandInputs,Property,BoolValueCommandInput,gets the commandinputs class of the parent which can be a command groupcommandinput or tabcommandinputdefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoolValueCommandInput.id,Property,BoolValueCommandInput,gets the unique identifier for this input in the commands commandinputsdefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoolValueCommandInput.isCheckBox,Property,BoolValueCommandInput,indicates if this is being shown as a button or check boxdefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoolValueCommandInput.isEnabled,Property,BoolValueCommandInput,gets or sets if this input is currently enabled or disabled for user interactiondefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoolValueCommandInput.isFullWidth,Property,BoolValueCommandInput,gets or sets if this input fills the entire width of the dialog if true the name is ignored and the input control will fill the entire width of the command dialog the default value for this property in a new command input if false or not to fill the width this property does not apply to groupcommandinputs or tabcommandinputsdefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoolValueCommandInput.isValid,Property,BoolValueCommandInput,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoolValueCommandInput.isVisible,Property,BoolValueCommandInput,gets or sets if this input will be visible to the userdefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoolValueCommandInput.name,Property,BoolValueCommandInput,gets the user visible name of this inputdefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoolValueCommandInput.objectType,Property,BoolValueCommandInput,returns a string indicating the type of the objectdefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoolValueCommandInput.parentCommand,Property,BoolValueCommandInput,gets the parent commanddefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoolValueCommandInput.parentCommandInput,Property,BoolValueCommandInput,gets the parent commandinput if this commandinput is the child of a tabcommandinput or groupcommandinput returns null if their is no parentdefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoolValueCommandInput.resourceFolder,Property,BoolValueCommandInput,gets the folder that contains the image to display on the button text can also be displayed which is specified using the text propertydefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoolValueCommandInput.text,Property,BoolValueCommandInput,gets and sets text to be displayed on the button if the resourcefolder is not specified then the button will be displayed with only text if text and the resource folder are specified then both the icon and text will be displayeddefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoolValueCommandInput.toolClipFilename,Property,BoolValueCommandInput,gets or sets the full filename of the image file png used for the tool clip the tooltip is always shown but as the user hovers over the control it will progressively display the tool clip and description textdefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoolValueCommandInput.tooltip,Property,BoolValueCommandInput,gets or sets the base tooltip string this is always shown for commands if the tooltip description andor tool clip are also specified then the tooltip will progressively display more information as the user hovers the mouse over the controldefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoolValueCommandInput.tooltipDescription,Property,BoolValueCommandInput,gets or sets additional text to display progressively along with the tooltip the text for the description can contain some basic html formatting tags to format the tags for example the br tag can be used to create multiple paragraphs the tooltip is always shown but as the user hovers over the control it will progressively display the tool clip and description textdefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoolValueCommandInput.value,Property,BoolValueCommandInput,gets or sets the state of this input if its being displayed as a checkbox a value of true indicates the input is checked if its being displayed as a button a value of true indicates the button is currently depresseddefined in and the header file is adskcoreuserinterfaceboolvaluecommandinputh,False,BoolValueCommandInput
BoundaryFillFeature,Object,,,True,BoundaryFillFeature
BoundaryFillFeatureInput,Object,,,True,BoundaryFillFeatureInput
BoundaryFillFeatureInput.bRepCells,Property,BoundaryFillFeatureInput,returns the collection of the valid cells that have been calculated based on the set of input tools you use this collection to specify which cells you want included in the outputdefined in and the header file is adskfusionfeaturesboundaryfillfeatureinputh,False,BoundaryFillFeatureInput
BoundaryFillFeatureInput.classType,Method,BoundaryFillFeatureInput,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskfusionfeaturesboundaryfillfeatureinputh,False,BoundaryFillFeatureInput
BoundaryFillFeatureInput.creationOccurrence,Property,BoundaryFillFeatureInput,in order for geometry to be transformed correctly an occurrence for creation needs to be specified when the boundary fill is created based on geometry eg a profile andor faces in another component and the boundary fill is not in the root component the creationoccurrence is analogous to the active occurrence in the uidefined in and the header file is adskfusionfeaturesboundaryfillfeatureinputh,False,BoundaryFillFeatureInput
BoundaryFillFeatureInput.isValid,Property,BoundaryFillFeatureInput,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskfusionfeaturesboundaryfillfeatureinputh,False,BoundaryFillFeatureInput
BoundaryFillFeatureInput.objectType,Property,BoundaryFillFeatureInput,returns a string indicating the type of the objectdefined in and the header file is adskfusionfeaturesboundaryfillfeatureinputh,False,BoundaryFillFeatureInput
BoundaryFillFeatureInput.operation,Property,BoundaryFillFeatureInput,gets and sets the type of operation performed by the boundary fill featuredefined in and the header file is adskfusionfeaturesboundaryfillfeatureinputh,False,BoundaryFillFeatureInput
BoundaryFillFeatureInput.targetBaseFeature,Property,BoundaryFillFeatureInput,when creating a feature that is owned by a base feature set this property to the base feature you want to associate the new feature with by default this is null meaning it will not be associated with a base feature because of a current limitation if you want to create a feature associated with a base feature you must set this property and call the startedit method of the base feature create the feature and then call the finishedit method of the base feature the base feature must be in an edit state to be able to add any additional items to itdefined in and the header file is adskfusionfeaturesboundaryfillfeatureinputh,False,BoundaryFillFeatureInput
BoundaryFillFeatureInput.tools,Property,BoundaryFillFeatureInput,gets and sets the collection of one or more construction planes and open or closed brepbody objects that are used in calculating the possible closed boundariesdefined in and the header file is adskfusionfeaturesboundaryfillfeatureinputh,False,BoundaryFillFeatureInput
BoundaryFillFeatures,Object,,,True,BoundaryFillFeatures
BoundaryFillFeatures.add,Method,BoundaryFillFeatures,creates a new boundary fill featuredefined in and the header file is adskfusionfeaturesboundaryfillfeaturesh,False,BoundaryFillFeatures
BoundaryFillFeatures.classType,Method,BoundaryFillFeatures,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskfusionfeaturesboundaryfillfeaturesh,False,BoundaryFillFeatures
BoundaryFillFeatures.count,Property,BoundaryFillFeatures,the number of boundary fill features in the collectiondefined in and the header file is adskfusionfeaturesboundaryfillfeaturesh,False,BoundaryFillFeatures
BoundaryFillFeatures.createInput,Method,BoundaryFillFeatures,creates a boundaryfillfeatureinput object use properties and methods on this object to define the boundary fill you want to create and then use the add method passing in the boundaryfillfeatureinput object to determine the possible boundaries and allow you to choose which cells to keep the boundary fill feature does a partial compute when the input object is created to do this it starts a boundary fill feature transaction and completes the transaction when you call the add method if you dont call the add method to finish the transaction it leaves fusion 360 in a bad state and there will be undo problems and possibly a crash if you have created a boundfillfeatureinput object and dont want to finish the feature creation you need to call the cancel method on the boundaryfillfeatureinput object to safely abort the current boundary fill transactiondefined in and the header file is adskfusionfeaturesboundaryfillfeaturesh,False,BoundaryFillFeatures
BoundaryFillFeatures.isValid,Property,BoundaryFillFeatures,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskfusionfeaturesboundaryfillfeaturesh,False,BoundaryFillFeatures
BoundaryFillFeatures.item,Method,BoundaryFillFeatures,function that returns the specified boundary fill feature using an index into the collectiondefined in and the header file is adskfusionfeaturesboundaryfillfeaturesh,False,BoundaryFillFeatures
BoundaryFillFeatures.itemByName,Method,BoundaryFillFeatures,function that returns the specified boundary fill feature using the name of the featuredefined in and the header file is adskfusionfeaturesboundaryfillfeaturesh,False,BoundaryFillFeatures
BoundaryFillFeatures.objectType,Property,BoundaryFillFeatures,returns a string indicating the type of the objectdefined in and the header file is adskfusionfeaturesboundaryfillfeaturesh,False,BoundaryFillFeatures
BoundaryFillFeature.applyCellChanges,Method,BoundaryFillFeature,after making any changes to the set of selected cells you must call this method to indicate all changes have been made and to apply those changes to the featuredefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.assemblyContext,Property,BoundaryFillFeature,returns the assembly occurrence ie the occurrence of this object in an assembly this is only valid in the case where this is acting as a proxy in an assembly returns null in the case where the object is not in the context of an assembly but is already the native objectdefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.attributes,Property,BoundaryFillFeature,returns the collection of attributes associated with this facedefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.baseFeature,Property,BoundaryFillFeature,if this feature is associated with a base feature this property will return that base feature if its not associated with a base feature this property will return nulldefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.bodies,Property,BoundaryFillFeature,returns the bodies that were modified or created by this feature this works for both parametric and nonparametric features for a basefeature this returns the bodies that are owned by the base featuredefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.bRepCells,Property,BoundaryFillFeature,gets the set of closed boundaries that have been calculated based on the current set of tools to get this collection the model must be in the state it was when the feature was initially computed which means the timeline marker must be positioned to immediately before this feature after changing any selected cells you must call the applycellchanges method to update the feature with the changesdefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.classType,Method,BoundaryFillFeature,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.createForAssemblyContext,Method,BoundaryFillFeature,creates or returns a proxy for the native object ie a new object that represents this object but adds the assembly context defined by the input occurrencedefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.deleteMe,Method,BoundaryFillFeature,deletes the feature this works for both parametric and nonparametric featuresdefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.dissolve,Method,BoundaryFillFeature,dissolves the feature so that the feature information is lost and only the brep geometry defined by the feature remains this is only valid for nonparametric featuresdefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.errorOrWarningMessage,Property,BoundaryFillFeature,returns the error or warning message in the case where the healthstate property returns either warningfeaturehealthstate or errorfeaturehealthstate otherwise this property returns an empty stringdefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.faces,Property,BoundaryFillFeature,returns the faces that were created by this feature this works for both parametric and nonparametric featuresdefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.healthState,Property,BoundaryFillFeature,returns the current health state of the featuredefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.isParametric,Property,BoundaryFillFeature,indicates if this feature is parametric or notdefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.isSuppressed,Property,BoundaryFillFeature,gets and sets if this feature is suppressed this is only valid for parametric featuresdefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.isValid,Property,BoundaryFillFeature,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.linkedFeatures,Property,BoundaryFillFeature,returns the set of features that are linked to this feature the set of linked features are all of the features that were created in various components as the result of a single feature being created in the user interfacedefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.name,Property,BoundaryFillFeature,returns the name of the feature as seen in the browser nonparametric or in the timeline parametricdefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.nativeObject,Property,BoundaryFillFeature,the nativeobject is the object outside the context of an assembly and in the context of its parent component returns null in the case where this object is not in the context of an assembly but is already the native objectdefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.objectType,Property,BoundaryFillFeature,returns a string indicating the type of the objectdefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.operation,Property,BoundaryFillFeature,gets and sets the type of operation performed by the boundary fill featuredefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.parentComponent,Property,BoundaryFillFeature,returns the parent component that owns this featuredefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.timelineObject,Property,BoundaryFillFeature,returns the timeline object associated with this featuredefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundaryFillFeature.tools,Property,BoundaryFillFeature,a collection of construction planes and open or closed brepbody objects that define the set of boundaries that have been used in the calculation of available closed boundaries setting this property will clear all currently selected toolsdefined in and the header file is adskfusionfeaturesboundaryfillfeatureh,False,BoundaryFillFeatures
BoundingBox2D,Object,,,True,BoundingBox2D
BoundingBox2D.classType,Method,BoundingBox2D,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskcoregeometryboundingbox2dh,False,BoundingBox2D
BoundingBox2D.combine,Method,BoundingBox2D,combines this bounding box with the input bounding box if the input bounding box extends outside this bounding box then this bounding box will be extended to encompass both of the original bounding boxesdefined in and the header file is adskcoregeometryboundingbox2dh,False,BoundingBox2D
BoundingBox2D.contains,Method,BoundingBox2D,determines if the specified point lies within the bounding boxdefined in and the header file is adskcoregeometryboundingbox2dh,False,BoundingBox2D
BoundingBox2D.copy,Method,BoundingBox2D,create a copy of this bounding boxdefined in and the header file is adskcoregeometryboundingbox2dh,False,BoundingBox2D
